,name,position,department,timestamp
40,Nicholas Alberti,Corporate Partnerships Activation Assistant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
41,Chris Baker,"Sr. Director, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
42,Dana Barros,Community Relations Consultant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
43,John Borders IV,Community Engagement Manager,"Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
44,Kelsie Bryant,Community Engagement Assistant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
45,Tessa Caffrey,"Sr. Director, Corporate Partnerships Events and Hospitality","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
46,Ted Dalton,"Senior VP, Corporate Partnerships & Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
47,Nicole Federico,"Sr. Director, Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
48,Jim Ferris,"Managing Director, CLTX Crossover Gaming","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
49,Claire Fox,"Manager, Corporate Partnership Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
50,Leanda Helms,Sr. Designer and Creative Strategist,"Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
51,David Hoffman,"Sr. Director, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
52,Kara Keena,"Sr. Manager, Corporate Partnerships Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
53,Kelsey Keena,"Sr. Coordinator, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
54,Vicky Le,"Sr. Director, Corporate Partnerships Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
55,Bil Marzouki,"Director, Corporate Partnership Sales","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
56,Leon Powe,Community Ambassador,"Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
57,Siobhan Sherbovich,"Director, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
58,Richie Smith,"Manager, Analytics & Strategy","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
59,Jake Spiak,"Manager, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
60,Alec Spivack,"Strategy Coordinator, Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
61,Sam Taub,"Manager, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
62,Johnson Tran,Community Engagement Coordinator,"Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
63,JoJo White,Director of Special Projects,"Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
64,Ariann Williams,"Sr. Coordinator, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180119090002
65,Kit Ackerman,Mascot Coordinator,"Marketing, Ticket Sales, and Service",20180119090002
66,Susan Barabino,Executive Assistant,"Marketing, Ticket Sales, and Service",20180119090002
67,Justin Brown,Ticket Sales Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
68,Kelly Brown – Ticket Sales Coordinator,"Marketing, Ticket Sales, and Service",,20180119090002
69,Brian Burnard,Director of Premium and Season Ticket Sales,"Marketing, Ticket Sales, and Service",20180119090002
70,Paul Cacciatore,"Vice President, Business & Arena Operations","Marketing, Ticket Sales, and Service",20180119090002
71,Nicholas Cacici,Premium Event Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
72,Susanne Canvin,Marketing & Advertising Coordinator,"Marketing, Ticket Sales, and Service",20180119090002
73,Craig Cassano,Sr. Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
74,Lauren Chesnulevich,Sr. Member Experience Executive,"Marketing, Ticket Sales, and Service",20180119090002
75,David Cohen,"Director, Member Experience & Retention","Marketing, Ticket Sales, and Service",20180119090002
76,Michael Corcoran – Ticket Sales Account Executive,"Marketing, Ticket Sales, and Service",,20180119090002
77,Sam Crocker,Digital Content Producer,"Marketing, Ticket Sales, and Service",20180119090002
78,Jacob Cruz,Premium and Season Ticket Sales Manager,"Marketing, Ticket Sales, and Service",20180119090002
79,Marc D'Amico,Digital Content Director & Team Reporter,"Marketing, Ticket Sales, and Service",20180119090002
80,Anna Dyakiv,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180119090002
81,Steven Gadsden,"Sr. Video Producer, Live Events","Marketing, Ticket Sales, and Service",20180119090002
82,Kyle George,Digital Development Coordinator,"Marketing, Ticket Sales, and Service",20180119090002
83,Brittany Glenn,"Director, VIP Member Experience & Retention","Marketing, Ticket Sales, and Service",20180119090002
84,Rich Gotham,Team President,"Marketing, Ticket Sales, and Service",20180119090002
85,Matt Griffin,VP of Strategic Marketing & Business Operations,"Marketing, Ticket Sales, and Service",20180119090002
86,Alexandra Hart,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180119090002
87,Mackenzie Henderson,"VP, Ticket Sales","Marketing, Ticket Sales, and Service",20180119090002
88,Alex Herko,Digital Content Producer,"Marketing, Ticket Sales, and Service",20180119090002
89,Kara Hutchinson,Director of Marketing,"Marketing, Ticket Sales, and Service",20180119090002
90,Duane Johnson,Director of Ticket Operations,"Marketing, Ticket Sales, and Service",20180119090002
91,Winston Jones,Marketing Analyst,"Marketing, Ticket Sales, and Service",20180119090002
92,Erin Kelly,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180119090002
93,John Krafick,Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
94,Carley Lenahan,Event Coordinator,"Marketing, Ticket Sales, and Service",20180119090002
95,Jamie Miller,Member Engagement Manager,"Marketing, Ticket Sales, and Service",20180119090002
96,Chrissy Leach,Group Sales Manager,"Marketing, Ticket Sales, and Service",20180119090002
97,Erin Lewis,Group Sales Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
98,Colleen Rossetti,VIP Member Experience Executive,"Marketing, Ticket Sales, and Service",20180119090002
99,Alex Manta,Business Operations Manager,"Marketing, Ticket Sales, and Service",20180119090002
100,Tyler Marcotte,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180119090002
101,Tyler Massey,Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
102,Eileen O'Malley,Strategic Marketing Coordinator,"Marketing, Ticket Sales, and Service",20180119090002
103,Marina Ortega,Dance Team Director,"Marketing, Ticket Sales, and Service",20180119090002
104,Sara Page,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180119090002
105,Jillian Paine,Director of Inside Sales,"Marketing, Ticket Sales, and Service",20180119090002
106,Justin Peterson,"Director, Digital Content Production","Marketing, Ticket Sales, and Service",20180119090002
107,McKenzie Pezze – Member Experience Executive,"Marketing, Ticket Sales, and Service",,20180119090002
108,Amanda Pflugrad,Celtics.com Video Reporter,"Marketing, Ticket Sales, and Service",20180119090002
109,Tiffany Philyaw – Member Experience Executive,"Marketing, Ticket Sales, and Service",,20180119090002
110,John Picard,Sr. Digital Videographer,"Marketing, Ticket Sales, and Service",20180119090002
111,Katie Punda,Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
112,Bill Ramos,"Director, Digital Development & Innovation","Marketing, Ticket Sales, and Service",20180119090002
113,Jonathan Robinson,Sr. Group Sales Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
114,Marc Rogers,Group Sales Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
115,Andrew Sherwin,Director of Business Operations,"Marketing, Ticket Sales, and Service",20180119090002
116,Keith Sliney,Creative Director,"Marketing, Ticket Sales, and Service",20180119090002
117,Taylor Snow,Digital Production Coordinator,"Marketing, Ticket Sales, and Service",20180119090002
118,Zachary Soulier,Account Executive,"Marketing, Ticket Sales, and Service",20180119090002
119,Sean Sullivan,VP of Live Events,"Marketing, Ticket Sales, and Service",20180119090002
120,Shawn Sullivan,Chief Marketing Officer,"Marketing, Ticket Sales, and Service",20180119090002
121,Matthew Tardiff,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180119090002
122,Michael Wan,Business Operations Analyst,"Marketing, Ticket Sales, and Service",20180119090002
123,Jake Wendling,Director of Game Presentation & Events,"Marketing, Ticket Sales, and Service",20180119090002
124,Jack Wu,Graphic Designer,"Marketing, Ticket Sales, and Service",20180119090002
125,Brandon Chinn,Communications Assistant Manager,Media Relations,20180119090002
126,Christian Megliola,"Senior VP, Communications",Media Relations,20180119090002
127,Brian Olive,Media Services Manager,Media Relations,20180119090002
128,Jeffrey Twiss,VP of Media Services/Alumni Relations,Media Relations,20180119090002
129,Heather Walker,Sr. Director of Public Relations,Media Relations,20180119090002
130,Peter Fayette,Director of Operations,Finance / Administration,20180119090002
131,Patrick Lynch,Assistant Controller & Sr. Director of Finance,Finance / Administration,20180119090002
132,Will Lynner,Staff Accountant,Finance / Administration,20180119090002
133,Tim Rath,Vice President & Controller,Finance / Administration,20180119090002
134,Barbara Reed,Sr. Director of Human Resources & Investor Services,Finance / Administration,20180119090002
135,Bill Reissfelder,Sr. Vice President & CFO,Finance / Administration,20180119090002
136,Clancy Wolf,Receptionist & Assistant Office Manager,Finance / Administration,20180119090002
137,Alice Zottoli,Accounting Manager,Finance / Administration,20180119090002
138,Rob Billings,Risk Management,Operations,20180119090002
139,Rick Coombs,Manager of Technology Programs and Services,Operations,20180119090002
140,Tim Knecht,Information Technology Administrator,Operations,20180119090002
141,James Parker,Associate Team Counsel,Operations,20180119090002
142,Jay Wessland,Vice President & CTO,Operations,20180119090002
0,Wyc Grousbeck,"Managing Partner, Governor & Chief Executive Officer",Managing Partners,20180204050858
1,H. Irving Grousbeck,Managing Partner & Alternate Governor,Managing Partners,20180204050858
2,Stephen Pagliuca,Managing Partner & Alternate Governor,Managing Partners,20180204050858
3,Robert Epstein,Managing Partner & Alternate Governor,Managing Partners,20180204050858
4,Wendy Cooper,Executive Assistant,Managing Partners,20180204050858
5,Austin Ainge,Director of Player Personnel,Basketball Operations,20180204050858
6,Danny Ainge,President of Basketball Operations,Basketball Operations,20180204050858
7,Jerome Allen,Assistant Coach,Basketball Operations,20180204050858
8,Gibson Arnold,Regional Scout,Basketball Operations,20180204050858
9,Brandon Bailey,Assistant Video Coordinator,Basketball Operations,20180204050858
10,Alex Barlow,Video Assistant,Basketball Operations,20180204050858
11,Frank Burke,Director of Basketball Administration,Basketball Operations,20180204050858
12,Drew Cannon,Basketball Operations Analyst,Basketball Operations,20180204050858
13,Remy Cofield,Basketball Operations Assistant,Basketball Operations,20180204050858
14,Jake Eastman,Basketball Operations Assistant,Basketball Operations,20180204050858
15,Kenny Graves,Coaching Associate/Director of Player Development,Basketball Operations,20180204050858
16,Jay Larranaga,Assistant Coach,Basketball Operations,20180204050858
17,Armond Lavallee,Assistant Strength and Conditioning Coach,Basketball Operations,20180204050858
18,Luiz Lemes,International Scout,Basketball Operations,20180204050858
19,David Lewin,Director of Scouting,Basketball Operations,20180204050858
20,Todd Lickliter,Regional Scout,Basketball Operations,20180204050858
21,Andrew Mannix,Basketball Facilities Manager,Basketball Operations,20180204050858
22,Benas Matkevicius,International Scout,Basketball Operations,20180204050858
23,Walter McCarty,Assistant Coach,Basketball Operations,20180204050858
24,Kathleen Nimmo,Team Services Manager,Basketball Operations,20180204050858
25,Matthew Reynolds,Video Assistant,Basketball Operations,20180204050858
26,Gary Schmidt,Advance Scout,Basketball Operations,20180204050858
27,Micah Shrewsberry,Assistant Coach,Basketball Operations,20180204050858
28,David Sparks,Director of Basketball Analytics,Basketball Operations,20180204050858
29,Brad Stevens,Head Coach,Basketball Operations,20180204050858
30,Tyler Yeaton,Assistant Strength and Conditioning Coach,Basketball Operations,20180204050858
31,Jamie Young,Assistant Coach,Basketball Operations,20180204050858
32,Mike Zarren,Assistant General Manager & Team Counsel,Basketball Operations,20180204050858
33,Pete Chrisafideis,Home Equipment Personnel,Team Services,20180204050858
34,John Connor,Team Travel & Equipment Manager,Team Services,20180204050858
35,Phil Lynch,Director of Team Security,Team Services,20180204050858
36,Francis O'Bryant,Operations Liaison,Team Services,20180204050858
37,Dr. Johann Bilsborough,Director of Sport Science,Medical Staff,20180204050858
38,Brian Dolan,Physical Therapist,Medical Staff,20180204050858
39,"Brian McKeon, M.D.",Chief Medical Officer & Team Physician,Medical Staff,20180204050858
40,Nicholas Alberti,Corporate Partnerships Activation Assistant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
41,Chris Baker,"Sr. Director, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
42,Dana Barros,Community Relations Consultant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
43,John Borders IV,Community Engagement Manager,"Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
44,Kelsie Bryant,Community Engagement Assistant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
45,Tessa Caffrey,"Sr. Director, Corporate Partnerships Events and Hospitality","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
46,Ted Dalton,"Senior VP, Corporate Partnerships & Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
47,Nicole Federico,"Sr. Director, Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
48,Jim Ferris,"Managing Director, CLTX Crossover Gaming","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
49,Claire Fox,"Manager, Corporate Partnership Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
50,Leanda Helms,Sr. Designer and Creative Strategist,"Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
51,David Hoffman,"Sr. Director, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
52,Kara Keena,"Sr. Manager, Corporate Partnerships Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
53,Kelsey Keena,"Sr. Coordinator, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
54,Vicky Le,"Sr. Director, Corporate Partnerships Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
55,Bil Marzouki,"Director, Corporate Partnership Sales","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
56,Leon Powe,Community Ambassador,"Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
57,Siobhan Sherbovich,"Director, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
58,Richie Smith,"Manager, Analytics & Strategy","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
59,Jake Spiak,"Manager, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
60,Alec Spivack,"Strategy Coordinator, Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
61,Sam Taub,"Manager, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
62,Johnson Tran,Community Engagement Coordinator,"Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
63,JoJo White,Director of Special Projects,"Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
64,Ariann Williams,"Sr. Coordinator, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180204050858
65,Kit Ackerman,Mascot Coordinator,"Marketing, Ticket Sales, and Service",20180204050858
66,Susan Barabino,Executive Assistant,"Marketing, Ticket Sales, and Service",20180204050858
67,Justin Brown,Ticket Sales Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
68,Kelly Brown – Ticket Sales Coordinator,"Marketing, Ticket Sales, and Service",,20180204050858
69,Brian Burnard,Director of Premium and Season Ticket Sales,"Marketing, Ticket Sales, and Service",20180204050858
70,Paul Cacciatore,"Vice President, Business & Arena Operations","Marketing, Ticket Sales, and Service",20180204050858
71,Nicholas Cacici,Premium Event Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
72,Susanne Canvin,Marketing & Advertising Coordinator,"Marketing, Ticket Sales, and Service",20180204050858
73,Craig Cassano,Sr. Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
74,Lauren Chesnulevich,Sr. Member Experience Executive,"Marketing, Ticket Sales, and Service",20180204050858
75,David Cohen,"Director, Member Experience & Retention","Marketing, Ticket Sales, and Service",20180204050858
76,Michael Corcoran – Ticket Sales Account Executive,"Marketing, Ticket Sales, and Service",,20180204050858
77,Sam Crocker,Digital Content Producer,"Marketing, Ticket Sales, and Service",20180204050858
78,Jacob Cruz,Premium and Season Ticket Sales Manager,"Marketing, Ticket Sales, and Service",20180204050858
79,Marc D'Amico,Digital Content Director & Team Reporter,"Marketing, Ticket Sales, and Service",20180204050858
80,Anna Dyakiv,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180204050858
81,Steven Gadsden,"Sr. Video Producer, Live Events","Marketing, Ticket Sales, and Service",20180204050858
82,Kyle George,Digital Development Coordinator,"Marketing, Ticket Sales, and Service",20180204050858
83,Brittany Glenn,"Director, VIP Member Experience & Retention","Marketing, Ticket Sales, and Service",20180204050858
84,Rich Gotham,Team President,"Marketing, Ticket Sales, and Service",20180204050858
85,Matt Griffin,VP of Strategic Marketing & Business Operations,"Marketing, Ticket Sales, and Service",20180204050858
86,Alexandra Hart,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180204050858
87,Mackenzie Henderson,"VP, Ticket Sales","Marketing, Ticket Sales, and Service",20180204050858
88,Alex Herko,Digital Content Producer,"Marketing, Ticket Sales, and Service",20180204050858
89,Kara Hutchinson,Director of Marketing,"Marketing, Ticket Sales, and Service",20180204050858
90,Duane Johnson,Director of Ticket Operations,"Marketing, Ticket Sales, and Service",20180204050858
91,Winston Jones,Marketing Analyst,"Marketing, Ticket Sales, and Service",20180204050858
92,Erin Kelly,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180204050858
93,John Krafick,Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
94,Carley Lenahan,Event Coordinator,"Marketing, Ticket Sales, and Service",20180204050858
95,Jamie Miller,Member Engagement Manager,"Marketing, Ticket Sales, and Service",20180204050858
96,Chrissy Leach,Group Sales Manager,"Marketing, Ticket Sales, and Service",20180204050858
97,Erin Lewis,Group Sales Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
98,Colleen Rossetti,VIP Member Experience Executive,"Marketing, Ticket Sales, and Service",20180204050858
99,Alex Manta,Business Operations Manager,"Marketing, Ticket Sales, and Service",20180204050858
100,Tyler Marcotte,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180204050858
101,Tyler Massey,Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
102,Eileen O'Malley,Strategic Marketing Coordinator,"Marketing, Ticket Sales, and Service",20180204050858
103,Marina Ortega,Dance Team Director,"Marketing, Ticket Sales, and Service",20180204050858
104,Sara Page,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180204050858
105,Jillian Paine,Director of Inside Sales,"Marketing, Ticket Sales, and Service",20180204050858
106,Justin Peterson,"Director, Digital Content Production","Marketing, Ticket Sales, and Service",20180204050858
107,McKenzie Pezze – Member Experience Executive,"Marketing, Ticket Sales, and Service",,20180204050858
108,Amanda Pflugrad,Celtics.com Video Reporter,"Marketing, Ticket Sales, and Service",20180204050858
109,Tiffany Philyaw – Member Experience Executive,"Marketing, Ticket Sales, and Service",,20180204050858
110,John Picard,Sr. Digital Videographer,"Marketing, Ticket Sales, and Service",20180204050858
111,Katie Punda,Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
112,Bill Ramos,"Director, Digital Development & Innovation","Marketing, Ticket Sales, and Service",20180204050858
113,Jonathan Robinson,Sr. Group Sales Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
114,Marc Rogers,Group Sales Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
115,Andrew Sherwin,Director of Business Operations,"Marketing, Ticket Sales, and Service",20180204050858
116,Keith Sliney,Creative Director,"Marketing, Ticket Sales, and Service",20180204050858
117,Taylor Snow,Digital Production Coordinator,"Marketing, Ticket Sales, and Service",20180204050858
118,Zachary Soulier,Account Executive,"Marketing, Ticket Sales, and Service",20180204050858
119,Sean Sullivan,VP of Live Events,"Marketing, Ticket Sales, and Service",20180204050858
120,Shawn Sullivan,Chief Marketing Officer,"Marketing, Ticket Sales, and Service",20180204050858
121,Matthew Tardiff,Member Experience Executive,"Marketing, Ticket Sales, and Service",20180204050858
122,Michael Wan,Business Operations Analyst,"Marketing, Ticket Sales, and Service",20180204050858
123,Jake Wendling,Director of Game Presentation & Events,"Marketing, Ticket Sales, and Service",20180204050858
124,Jack Wu,Graphic Designer,"Marketing, Ticket Sales, and Service",20180204050858
125,Brandon Chinn,Communications Assistant Manager,Media Relations,20180204050858
126,Christian Megliola,"Senior VP, Communications",Media Relations,20180204050858
127,Brian Olive,Media Services Manager,Media Relations,20180204050858
128,Jeffrey Twiss,VP of Media Services/Alumni Relations,Media Relations,20180204050858
129,Heather Walker,Sr. Director of Public Relations,Media Relations,20180204050858
130,Peter Fayette,Director of Operations,Finance / Administration,20180204050858
131,Patrick Lynch,Assistant Controller & Sr. Director of Finance,Finance / Administration,20180204050858
132,Will Lynner,Staff Accountant,Finance / Administration,20180204050858
133,Tim Rath,Vice President & Controller,Finance / Administration,20180204050858
134,Barbara Reed,Sr. Director of Human Resources & Investor Services,Finance / Administration,20180204050858
135,Bill Reissfelder,Sr. Vice President & CFO,Finance / Administration,20180204050858
136,Clancy Wolf,Receptionist & Assistant Office Manager,Finance / Administration,20180204050858
137,Alice Zottoli,Accounting Manager,Finance / Administration,20180204050858
138,Rob Billings,Risk Management,Operations,20180204050858
139,Rick Coombs,Manager of Technology Programs and Services,Operations,20180204050858
140,Tim Knecht,Information Technology Administrator,Operations,20180204050858
141,James Parker,Associate Team Counsel,Operations,20180204050858
142,Jay Wessland,Vice President & CTO,Operations,20180204050858
0,Wyc Grousbeck,"Managing Partner, Governor & Chief Executive Officer",Managing Partners,20180328220257
1,H. Irving Grousbeck,Managing Partner & Alternate Governor,Managing Partners,20180328220257
2,Stephen Pagliuca,Managing Partner & Alternate Governor,Managing Partners,20180328220257
3,Robert Epstein,Managing Partner & Alternate Governor,Managing Partners,20180328220257
4,Wendy Cooper,Executive Assistant,Managing Partners,20180328220257
5,Austin Ainge,Director of Player Personnel,Basketball Operations,20180328220257
6,Danny Ainge,President of Basketball Operations,Basketball Operations,20180328220257
7,Jerome Allen,Assistant Coach,Basketball Operations,20180328220257
8,Gibson Arnold,Regional Scout,Basketball Operations,20180328220257
9,Brandon Bailey,Assistant Video Coordinator,Basketball Operations,20180328220257
10,Alex Barlow,Video Assistant,Basketball Operations,20180328220257
11,Frank Burke,Director of Basketball Administration,Basketball Operations,20180328220257
12,Drew Cannon,Basketball Operations Analyst,Basketball Operations,20180328220257
13,Remy Cofield,Basketball Operations Assistant,Basketball Operations,20180328220257
14,Jake Eastman,Basketball Operations Assistant,Basketball Operations,20180328220257
15,Kenny Graves,Coaching Associate/Director of Player Development,Basketball Operations,20180328220257
16,Jay Larranaga,Assistant Coach,Basketball Operations,20180328220257
17,Armond Lavallee,Assistant Strength and Conditioning Coach,Basketball Operations,20180328220257
18,Luiz Lemes,International Scout,Basketball Operations,20180328220257
19,David Lewin,Director of Scouting,Basketball Operations,20180328220257
20,Todd Lickliter,Regional Scout,Basketball Operations,20180328220257
21,Andrew Mannix,Basketball Facilities Manager,Basketball Operations,20180328220257
22,Benas Matkevicius,International Scout,Basketball Operations,20180328220257
23,Walter McCarty,Assistant Coach,Basketball Operations,20180328220257
24,Kathleen Nimmo,Team Services Manager,Basketball Operations,20180328220257
25,Matthew Reynolds,Video Assistant,Basketball Operations,20180328220257
26,Gary Schmidt,Advance Scout,Basketball Operations,20180328220257
27,Micah Shrewsberry,Assistant Coach,Basketball Operations,20180328220257
28,David Sparks,Director of Basketball Analytics,Basketball Operations,20180328220257
29,Brad Stevens,Head Coach,Basketball Operations,20180328220257
30,Tyler Yeaton,Assistant Strength and Conditioning Coach,Basketball Operations,20180328220257
31,Jamie Young,Assistant Coach,Basketball Operations,20180328220257
32,Mike Zarren,Assistant General Manager & Team Counsel,Basketball Operations,20180328220257
33,Pete Chrisafideis,Home Equipment Personnel,Team Services,20180328220257
34,John Connor,Team Travel & Equipment Manager,Team Services,20180328220257
35,Phil Lynch,Director of Team Security,Team Services,20180328220257
36,Francis O'Bryant,Operations Liaison,Team Services,20180328220257
37,Dr. Johann Bilsborough,Director of Sport Science,Medical Staff,20180328220257
38,Brian Dolan,Physical Therapist,Medical Staff,20180328220257
39,"Brian McKeon, M.D.",Chief Medical Officer & Team Physician,Medical Staff,20180328220257
40,Nicholas Alberti,Corporate Partnerships Activation Assistant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257
41,Chris Baker,"Sr. Director, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257
42,Dana Barros,Community Relations Consultant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257
43,John Borders IV,Community Engagement Manager,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257
